timestamp_utc,run_id,sample_index,story,story_len,plaintext_len,roundtrip_ok,avalanche_pct,avalanche_std,avalanche_min_bit,avalanche_max_bit,sac_avg,sac_std,sac_min_bit,sac_max_bit,bic_avg_corr,bic_max_corr,bic_std_corr,bic_pass,key_sensitivity_pct,shannon_entropy,chi2_statistic,chi2_p_value,chi2_pass,nist_p_monobit,nist_pass,ddt_max,lat_max,diff_prob,serial_corr_lag1,serial_corr_lag2,serial_corr_lag4,timing_implementation,timing_mean_ns,timing_median_ns,timing_std_ns,timing_iqr_ns,timing_cv_pct
2026-03-30T05:54:31Z,2039078462,2,Nobody noticed the small notebook left on the café table beside a half finished cup of coffee.,94,44,1,49.6826,0.039721,0.382812,0.59375,0.496826,0.040092,0.390625,0.601562,0.006247,0.031442,0.004726,1,49.9664,7.991496,258.618,0.425064,1,0.554422,1,4,16,0.015625,-0.005956,0.003391,-0.00747,C-accelerated,133486.22,133300.0,1354.05,1400.0,0.5251
2026-03-30T05:54:31Z,2039078462,1,A young engineer spent the night debugging code while the city lights flickered beyond the window.,98,44,1,50.5493,0.046378,0.398438,0.664062,0.505493,0.041837,0.375,0.617188,0.006247,0.03133,0.004687,1,50.2258,7.991208,266.275,0.301007,1,0.647195,1,4,16,0.015625,0.001019,0.00274,-0.01228,C-accelerated,133384.22,132700.0,2385.14,3300.0,1.2434
2026-03-30T05:54:31Z,2039078462,0,The old librarian locked the door just as the rain began to fall outside the quiet town.,88,44,1,50.2319,0.039091,0.398438,0.617188,0.502319,0.045715,0.375,0.617188,0.006179,0.028195,0.004655,1,49.8138,7.990456,287.29,0.080337,1,0.912688,1,4,16,0.015625,-0.003912,-0.004416,-0.009003,C-accelerated,145258.89,135250.0,14481.75,31200.0,11.5342
2026-03-30T05:54:31Z,2039078462,3,In the early morning fog a fisherman quietly prepared his boat before the harbor woke up.,89,44,1,49.6948,0.043358,0.390625,0.601562,0.496948,0.044175,0.367188,0.609375,0.006207,0.032217,0.004721,1,49.6979,7.99208,240.535,0.733479,1,0.451308,1,4,16,0.015625,-0.005373,-0.005622,0.004192,C-accelerated,139008.22,136600.0,7478.5,7600.0,2.7818
2026-03-30T05:54:31Z,2039078462,6,The train moved slowly through the countryside as passengers stared at endless green fields.,92,44,1,49.884,0.038175,0.398438,0.601562,0.49884,0.042378,0.390625,0.609375,0.006136,0.026701,0.004728,1,50.2594,7.992675,222.336,0.931011,1,0.778502,1,4,16,0.015625,-0.001732,0.003548,0.009178,C-accelerated,134173.56,132900.0,2870.93,2500.0,0.9406
2026-03-30T05:54:31Z,2039078462,5,A stray cat wandered through the alley searching for warmth under a broken street lamp.,87,44,1,50.2991,0.041295,0.398438,0.625,0.502991,0.041456,0.40625,0.625,0.006226,0.031578,0.004732,1,50.3601,7.991841,248.099,0.609798,1,0.2205,1,4,16,0.015625,-0.009653,-0.003862,-0.004216,C-accelerated,132721.78,131900.0,2138.07,1700.0,0.6444
2026-03-30T05:54:31Z,2039078462,4,The professor wrote equations across the board while students wondered how the theory applied to real life.,107,44,1,49.4507,0.045011,0.382812,0.59375,0.494507,0.042189,0.375,0.59375,0.006224,0.03088,0.004685,1,49.8596,7.992733,221.684,0.935116,1,0.37523,1,4,16,0.015625,-0.004594,-0.00796,0.015727,C-accelerated,132833.33,132600.0,1197.79,1500.0,0.5656
2026-03-30T05:54:31Z,2039078462,7,Late at night the programmer wondered whether the algorithm would finally work tomorrow.,88,44,1,50.7263,0.047734,0.382812,0.65625,0.507263,0.048181,0.382812,0.625,0.006211,0.031383,0.00471,1,49.939,7.992078,239.674,0.746352,1,0.393466,1,4,16,0.015625,-0.007771,-0.008381,6.6e-05,C-accelerated,134920.44,133500.0,5189.35,4300.0,1.6105
2026-03-30T05:54:31Z,2039078462,8,A child built a tiny castle from sand while waves erased yesterday’s footprints.,80,44,1,50.3113,0.041654,0.367188,0.609375,0.503113,0.0422,0.359375,0.601562,0.006146,0.03778,0.004695,1,50.1129,7.992801,219.846,0.945717,1,0.837576,1,4,16,0.015625,-0.00382,0.000572,0.002478,C-accelerated,135192.89,134300.0,2857.63,4075.0,1.5171
2026-03-30T05:54:31Z,2039078462,9,Somewhere in the mountains a researcher quietly recorded the sound of wind moving through the forest.,101,44,1,50.1282,0.045573,0.367188,0.648438,0.501282,0.047258,0.375,0.617188,0.006183,0.02941,0.004667,1,50.5676,7.991956,243.468,0.687555,1,0.193095,1,4,16,0.015625,0.005195,-0.012591,0.005812,C-accelerated,135911.33,135200.0,2231.21,2300.0,0.8506
