timestamp_utc,run_id,sample_index,story,story_len,plaintext_len,roundtrip_ok,avalanche_pct,avalanche_std,avalanche_min_bit,avalanche_max_bit,sac_avg,sac_std,sac_min_bit,sac_max_bit,bic_avg_corr,bic_max_corr,bic_std_corr,bic_pass,key_sensitivity_pct,shannon_entropy,chi2_statistic,chi2_p_value,chi2_pass,nist_p_monobit,nist_pass,ddt_max,lat_max,diff_prob,serial_corr_lag1,serial_corr_lag2,serial_corr_lag4,timing_implementation,timing_mean_ns,timing_median_ns,timing_std_ns,timing_iqr_ns,timing_cv_pct
2026-03-30T05:40:55Z,2724667016,3,In the early morning fog a fisherman quietly prepared his boat before the harbor woke up.,89,44,1,50.3967,0.040946,0.398438,0.609375,0.503967,0.045197,0.40625,0.648438,0.006228,0.030274,0.004689,1,50.2136,7.991641,255.453,0.480231,1,0.961977,1,4,16,0.015625,0.016592,-0.016211,0.006774,C-accelerated,131410.89,131300.0,1735.68,3200.0,1.2186
2026-03-30T05:40:55Z,2724667016,0,The old librarian locked the door just as the rain began to fall outside the quiet town.,88,44,1,49.6338,0.041821,0.367188,0.585938,0.496338,0.044204,0.398438,0.625,0.006289,0.030346,0.004785,1,49.9237,7.991741,251.055,0.55806,1,0.590089,1,4,16,0.015625,0.007181,-0.01005,-0.010232,C-accelerated,131940.89,132100.0,1711.68,2975.0,1.126
2026-03-30T05:40:55Z,2724667016,1,A young engineer spent the night debugging code while the city lights flickered beyond the window.,98,44,1,49.6338,0.044107,0.40625,0.625,0.496338,0.042331,0.359375,0.585938,0.006262,0.035143,0.004708,1,50.2014,7.99184,247.727,0.616229,1,0.115669,1,4,16,0.015625,-0.009023,0.004286,-0.002025,C-accelerated,130785.11,130600.0,1158.13,1000.0,0.3828
2026-03-30T05:40:55Z,2724667016,2,Nobody noticed the small notebook left on the café table beside a half finished cup of coffee.,94,44,1,50.2686,0.048035,0.375,0.640625,0.502686,0.050738,0.390625,0.617188,0.006228,0.028912,0.004672,1,50.1282,7.989635,313.1,0.007575,0,0.541719,1,4,16,0.015625,-0.015483,-0.007612,0.002823,C-accelerated,132768.89,132400.0,1458.95,900.0,0.3399
2026-03-30T05:40:55Z,2724667016,4,The professor wrote equations across the board while students wondered how the theory applied to real life.,107,44,1,50.6042,0.039839,0.390625,0.609375,0.506042,0.041273,0.382812,0.601562,0.006255,0.029943,0.004715,1,50.3174,7.991311,263.273,0.347573,1,0.60998,1,4,16,0.015625,0.003548,0.01412,-0.011551,C-accelerated,130353.78,130300.0,977.86,1150.0,0.4413
2026-03-30T05:40:55Z,2724667016,7,Late at night the programmer wondered whether the algorithm would finally work tomorrow.,88,44,1,50.0916,0.040225,0.398438,0.601562,0.500916,0.041714,0.398438,0.59375,0.006285,0.035966,0.004741,1,49.9786,7.991997,242.793,0.69839,1,0.062991,1,4,16,0.015625,-0.014937,0.0049,-0.002451,C-accelerated,129681.56,129400.0,1018.95,800.0,0.3091
2026-03-30T05:40:55Z,2724667016,5,A stray cat wandered through the alley searching for warmth under a broken street lamp.,87,44,1,49.7375,0.043753,0.351562,0.640625,0.497375,0.041435,0.398438,0.617188,0.006225,0.028942,0.004752,1,49.8962,7.992554,226.828,0.897393,1,1.0,1,4,16,0.015625,0.000526,-0.003551,-0.014945,C-accelerated,131711.78,131000.0,1800.99,3500.0,1.3359
2026-03-30T05:40:55Z,2724667016,6,The train moved slowly through the countryside as passengers stared at endless green fields.,92,44,1,50.3235,0.043679,0.421875,0.625,0.503235,0.044329,0.382812,0.601562,0.006155,0.028699,0.004676,1,49.2523,7.991336,264.948,0.321198,1,0.086119,1,4,16,0.015625,0.00052,-0.004262,-0.0025,C-accelerated,130976.67,130600.0,1561.17,2200.0,0.8423
2026-03-30T05:40:55Z,2724667016,11,In a small village market people argued cheerfully about the price of fresh vegetables.,87,44,1,49.5239,0.048251,0.375,0.617188,0.495239,0.038894,0.390625,0.601562,0.006295,0.029624,0.004723,1,49.527,7.992852,217.798,0.955916,1,0.965777,1,4,16,0.015625,0.005334,-0.003336,0.003562,C-accelerated,133793.78,135200.0,2377.53,4100.0,1.5163
2026-03-30T05:40:55Z,2724667016,8,A child built a tiny castle from sand while waves erased yesterday’s footprints.,80,44,1,49.9023,0.047119,0.367188,0.609375,0.499023,0.040818,0.390625,0.601562,0.00623,0.033108,0.00473,1,49.8627,7.992536,227.456,0.891915,1,0.819,1,4,16,0.015625,-0.008685,0.000667,0.006955,C-accelerated,130284.44,130200.0,894.09,1000.0,0.384
2026-03-30T05:40:55Z,2724667016,9,Somewhere in the mountains a researcher quietly recorded the sound of wind moving through the forest.,101,44,1,50.7202,0.04176,0.414062,0.617188,0.507202,0.042305,0.382812,0.601562,0.006224,0.032943,0.004652,1,50.1678,7.991609,255.546,0.478592,1,0.431512,1,4,16,0.015625,-0.003689,0.010079,0.002995,C-accelerated,130584.89,130600.0,1420.01,2000.0,0.7657
2026-03-30T05:40:55Z,2724667016,10,The detective read the old letter again hoping to find a clue he had missed before.,83,44,1,50.1526,0.047089,0.382812,0.617188,0.501526,0.04817,0.382812,0.617188,0.006256,0.028527,0.00469,1,50.3143,7.991953,245.702,0.650706,1,0.501462,1,4,16,0.015625,0.001772,-0.004858,0.016993,C-accelerated,131793.78,131900.0,1180.68,900.0,0.3412
2026-03-30T05:40:55Z,2724667016,12,The night guard walked across the empty corridor listening to the echo of his own footsteps.,92,44,1,49.3042,0.043171,0.382812,0.59375,0.493042,0.045157,0.351562,0.601562,0.006178,0.028312,0.004708,1,49.9603,7.992661,223.593,0.922557,1,0.950583,1,4,16,0.015625,-0.013024,0.008324,-0.002892,C-accelerated,133566.89,132400.0,2597.33,4200.0,1.5861
2026-03-30T05:40:55Z,2724667016,14,The scientist adjusted the microscope and noticed a pattern no one had documented before.,89,44,1,49.6155,0.042511,0.351562,0.617188,0.496155,0.045784,0.359375,0.601562,0.006214,0.02997,0.004728,1,50.531,7.992324,232.832,0.836913,1,0.702918,1,4,16,0.015625,0.003327,-0.00691,-0.006867,C-accelerated,131836.22,131600.0,1149.67,1375.0,0.5224
2026-03-30T05:40:55Z,2724667016,13,A tired writer stared at the blank page waiting for the first sentence to appear.,81,44,1,49.4263,0.04407,0.351562,0.59375,0.494263,0.041941,0.414062,0.632812,0.006135,0.030507,0.004648,1,50.2563,7.992613,222.266,0.931459,1,0.551233,1,4,16,0.015625,0.001966,-0.004553,-0.00351,C-accelerated,133895.56,133100.0,3158.32,5900.0,2.2164
2026-03-30T05:40:55Z,2724667016,15,Under the dim light of the station a traveler checked the map one more time.,76,44,1,50.3418,0.046984,0.382812,0.640625,0.503418,0.048384,0.351562,0.609375,0.006218,0.031328,0.004629,1,49.7955,7.991255,266.159,0.302753,1,0.001912,0,4,16,0.015625,0.001884,-0.002642,0.014972,C-accelerated,131752.0,131450.0,1511.47,2000.0,0.7607
2026-03-30T05:40:55Z,2724667016,17,A group of students discussed a strange idea that might change their entire project.,84,44,1,49.8047,0.044,0.375,0.59375,0.498047,0.042947,0.382812,0.617188,0.006281,0.031527,0.004746,1,50.4242,7.990049,306.63,0.014742,0,0.451308,1,4,16,0.015625,-0.001455,-0.010155,-0.002048,C-accelerated,130837.11,130500.0,1594.57,1275.0,0.4885
2026-03-30T05:40:55Z,2724667016,18,The wind pushed clouds across the sky while the lighthouse blinked steadily.,76,44,1,49.8901,0.042057,0.359375,0.601562,0.498901,0.041221,0.34375,0.640625,0.006254,0.030182,0.004654,1,50.1617,7.992578,228.154,0.885597,1,0.544881,1,4,16,0.015625,-0.000812,0.008464,0.009719,C-accelerated,130865.78,130300.0,1963.76,2075.0,0.7962
2026-03-30T05:40:55Z,2724667016,16,The baker opened his shop early filling the street with the smell of warm bread.,80,44,1,49.292,0.044842,0.382812,0.609375,0.49292,0.042751,0.335938,0.625,0.006252,0.029415,0.004641,1,50.2014,7.991377,264.204,0.332805,1,0.04842,1,4,16,0.015625,-0.001203,0.002379,0.006201,C-accelerated,131284.22,131400.0,1628.0,2475.0,0.9418
2026-03-30T05:40:55Z,2724667016,19,A quiet river passed behind the town carrying fallen leaves toward the sea.,75,44,1,50.2625,0.042312,0.390625,0.59375,0.502625,0.043204,0.398438,0.632812,0.006165,0.032477,0.004631,1,49.7498,7.990333,294.412,0.045346,0,0.867483,1,4,16,0.015625,-0.003481,0.002309,0.006621,C-accelerated,130645.11,130500.0,1385.14,1400.0,0.5364
2026-03-30T05:40:55Z,2724667016,21,The gardener watered the plants while humming a song from childhood.,68,44,1,50.4028,0.046681,0.398438,0.648438,0.504028,0.039908,0.398438,0.617188,0.006234,0.031617,0.004666,1,49.7803,7.991587,256.919,0.454507,1,0.077748,1,4,16,0.015625,-0.005485,0.002847,-0.005105,C-accelerated,132807.11,133500.0,2021.11,3400.0,1.2734
2026-03-30T05:40:55Z,2724667016,20,An old mechanic repaired engines that younger workers no longer understood.,75,44,1,50.1953,0.046477,0.382812,0.609375,0.501953,0.046538,0.375,0.601562,0.00627,0.028999,0.004735,1,50.1495,7.992287,234.671,0.814761,1,0.950583,1,4,16,0.015625,-0.002969,-0.010313,0.006792,C-accelerated,132222.67,132000.0,2247.83,2300.0,0.8712
2026-03-30T05:40:55Z,2724667016,22,A long forgotten photograph slipped from the pages of an old book.,66,44,1,50.5432,0.046297,0.390625,0.632812,0.505432,0.039155,0.421875,0.609375,0.006209,0.030552,0.00469,1,50.1862,7.992191,237.743,0.774104,1,0.742198,1,4,16,0.015625,-0.012989,0.001352,0.005243,C-accelerated,131390.22,131000.0,1314.97,2300.0,0.8779
2026-03-30T05:40:55Z,2724667016,23,The storm arrived faster than anyone expected and the power lines shook violently.,82,44,1,50.2014,0.043413,0.40625,0.609375,0.502014,0.041239,0.382812,0.609375,0.006199,0.027834,0.004637,1,49.5911,7.991285,265.74,0.309078,1,0.67832,1,4,16,0.015625,-0.004828,-0.002333,-0.000937,C-accelerated,131594.89,130600.0,2279.47,2300.0,0.8806
